survey_utc,channel,center_hz,td_transform_uv2,device_psd_uv2
2025-07-17T00:45:30Z,ONE_TWO_LEFT,18.5,0.174309,1.16202
2025-07-17T00:45:30Z,ONE_TWO_LEFT,19.5,0.172685,1.02853
2025-07-17T00:45:30Z,ONE_TWO_LEFT,20.5,0.171384,0.943792
2025-07-17T00:45:30Z,ONE_TWO_LEFT,21.5,0.190914,0.88626
2025-07-17T00:45:30Z,ONE_TWO_LEFT,22.5,0.19096,0.872066
2025-07-17T00:45:30Z,ONE_TWO_LEFT,23.5,0.182145,0.916178
2025-07-17T00:45:30Z,ONE_TWO_LEFT,24.5,0.243504,1.04967
2025-07-17T00:45:30Z,ONE_TWO_LEFT,25.5,0.244463,1.3229
2025-07-17T00:45:30Z,ONE_TWO_LEFT,26.5,0.301547,1.60798
2025-07-17T00:45:30Z,ONE_TWO_LEFT,27.5,0.309373,1.7945
2025-07-17T00:45:30Z,TWO_THREE_LEFT,7.5,0.472662,2.42662
2025-07-17T00:45:30Z,TWO_THREE_LEFT,8.5,0.411056,2.18536
2025-07-17T00:45:30Z,TWO_THREE_LEFT,9.5,0.429392,1.91213
2025-07-17T00:45:30Z,TWO_THREE_LEFT,10.5,0.37868,1.49586
2025-07-17T00:45:30Z,TWO_THREE_LEFT,11.5,0.253108,1.15448
2025-07-17T00:45:30Z,TWO_THREE_LEFT,12.5,0.23023,0.933964
2025-07-17T00:45:30Z,TWO_THREE_LEFT,13.5,0.216944,0.857872
2025-07-17T00:45:30Z,TWO_THREE_LEFT,14.5,0.183642,0.800341
2025-07-17T00:45:30Z,TWO_THREE_LEFT,15.5,0.180925,0.773886
2025-07-17T00:45:30Z,TWO_THREE_LEFT,16.5,0.15368,0.712148
2025-07-17T00:45:30Z,TWO_THREE_LEFT,17.5,0.146921,0.653264
2025-07-17T00:45:30Z,TWO_THREE_LEFT,18.5,0.130625,0.591526
2025-07-17T00:45:30Z,TWO_THREE_LEFT,19.5,0.116596,0.543208
2025-07-17T00:45:30Z,TWO_THREE_LEFT,20.5,0.0994472,0.519222
2025-07-17T00:45:30Z,TWO_THREE_LEFT,21.5,0.0955208,0.530521
2025-07-17T00:45:30Z,TWO_THREE_LEFT,22.5,0.0980187,0.552385
